type,subtype,item_category_id
卧室家具,定制衣柜,10317
卧室家具,床,10324
卧室家具,斗柜,10341
卧室家具,梳妆台/凳,10351
卧室家具,衣柜,10403
厨房小电,多用途锅,10310
厨房小电,料理机,10342
厨房小电,电水壶/热水瓶,10369
厨房小电,电烤箱,10370
厨房小电,电饼铛,10374
厨房配件,厨房DIY/小工具,10298
厨房配件,调料器皿,10409
发饰,发箍,10299
商业办公,办公桌,10294
商用电器,商用电饭煲,10306
喂养用品,吸奶器,10303
园艺用品,花盆花器,10400
大 家 电,冰箱,10289
女装,中老年女装,10269
女装,连衣裙,10420
安全自驾,其它摩托车配件,10286
安全自驾,拖车绳,10330
安全自驾,摩托车头盔,10335
安全自驾,摩托车尾箱,10336
安全自驾,摩托车骑行服,10337
客厅家具,沙发,10358
客厅家具,沙发床,10359
客厅家具,电视柜,10373
客厅家具,边桌/茶几,10417
客厅家具,鞋柜,10432
家装软饰,创意家居,10291
家装软饰,节庆饰品,10398
影音娱乐,耳机/耳麦,10395
户外装备,户外仪表,10327
户外装备,背包,10396
收纳用品,收纳架/篮,10338
收纳用品,收纳箱/盒,10339
收纳用品,收纳袋/包,10340
文具,办公文具,10293
文具,学生文具,10316
文具,本册/便签,10348
文具,笔类,10379
文具,计算器,10408
时尚饰品,婚庆饰品,10315
时钟,挂钟,10332
时钟,闹钟,10425
智能设备,智能家居,10345
智能设备,智能手环,10346
智能设备,智能手表,10347
服饰配件,口罩,10300
水具酒具,保温杯,10279
水具酒具,酒杯/酒具,10422
汽车装饰,临时停车牌,10270
汽车装饰,其它功能小件,10285
汽车装饰,头枕腰靠,10311
汽车装饰,座垫,10325
汽车装饰,挂件,10331
汽车装饰,排挡/手刹套,10333
汽车装饰,摆件,10334
汽车装饰,汽车装饰灯,10356
汽车装饰,汽车钥匙扣/包,10357
汽车装饰,车贴,10412
汽车装饰,车身装饰件,10413
汽车装饰,车载支架,10414
汽车装饰,车载烟灰缸,10415
汽车装饰,车载纸巾盒,10416
汽车装饰,遮阳挡/雪挡,10421
汽车装饰,防撞胶条,10426
汽车装饰,防踢垫,10427
汽车装饰,香水,10438
流行男鞋,休闲鞋,10277
流行男鞋,传统布鞋,10278
流行男鞋,商务休闲鞋,10305
流行男鞋,帆布鞋,10322
游戏设备,游戏耳机,10362
游泳用品,游泳配件,10363
灯饰照明,台灯,10301
灯饰照明,壁灯,10309
灯饰照明,杀菌灯,10349
灯饰照明,氛围照明,10354
灯饰照明,落地灯,10401
猫狗出行,宠物鞋服,10318
猫狗出行,牵引绳/胸背带,10364
瑜伽舞蹈,瑜伽包,10366
生活日用,浴室用品,10360
生活日用,雨伞雨具,10429
电脑整机,平板电脑,10323
电脑整机,游戏本,10361
电脑整机,笔记本,10380
男装,T恤,10268
男装,卫衣,10297
男装,夹克,10312
男装,棉服,10352
男装,衬衫,10405
男装,西服,10407
男装,针织衫,10424
男装,风衣,10433
礼品,创意礼品,10292
礼品,婚庆节庆,10314
礼品,电子礼品,10368
礼品,美妆礼品,10393
红木家具,红木博古架,10384
红木家具,红木梳妆台,10385
红木家具,红木沙发,10386
红木家具,红木电视柜,10387
红木家具,红木茶桌,10388
红木家具,红木衣柜,10389
红木家具,红木边桌几类,10390
红木家具,红木餐桌,10391
红木家具,红木餐边柜,10392
腕表,儿童手表,10281
腕表,国表,10308
腕表,德表,10326
腕表,日韩表,10344
腕表,欧美表,10353
腕表,瑞表,10367
花卉绿植,花卉,10399
西洋弦乐器,吉他,10302
西洋弦乐器,尤克里里,10320
计生情趣,其他情趣用品,10284
计生情趣,男用延时,10375
计生情趣,震动棒,10430
计生情趣,飞机杯,10434
运动护具,运动发带,10418
运动服饰,套装,10313
运动服饰,运动配饰,10419
运动鞋包,板鞋,10350
运动鞋包,篮球鞋,10383
运动鞋包,跑步鞋,10411
餐具,刀/叉/勺,10290
餐具,盘/碟,10376
餐具,碗,10378
餐厅家具,酒柜,10423
餐厅家具,餐桌,10435
餐厅家具,餐边柜,10436
骑行运动,自行车配件,10397
鲜花速递,永生花,10355
鲜花速递,香皂花,10439
鲜花速递,鲜花,10441
